edge,status,grade,evidence,consequence
WeaponBin+0x10 -> damage magnitude,rejected,A,demo:0x82252778 sums +0x10 into an engagement-cycle timer threshold,do not map damage from +0x10
WeaponBin+0x5D -> base damage term,closed,A,"demo:0x82273470 loads lbz +0x5D, converts it to float and adds modifier id 10",nominal gun=8; Strigon missile=40
context modifier 10 -> impact magnitude,closed,A,demo:0x82273470 calls demo:0x822B6FE0 with r4=10 before adding +0x5D,modifier business name remains open
radio site demo:0x820A2C58 -> MISSILEDAMAGE,rejected,A,"CX360RadioPlayManagerOnline invokes CX360RadioTextDecorate; 1008 is a bit mask",remove former producer claim
canon damage transport,closed,A-,demo:0x822735A8 stores helper result at Arms+0x168; impact path restores it into f1 and calls demo:0x821E2F60,compact event receives magnitude at +0x0C
missile damage transport,closed,A,"demo:0x822A4978 stores helper result at config+0x24; 0x82286830 copies it to embedded+0x60; 0x821E9550 forwards it",magnitude reaches compact event unchanged
compact impact event,closed,A,demo:0x821E2F60 writes f1 at event+0x0C and resolves source/target identities,common 44-byte impact contract
impact event -> target handler,closed,A,demo:0x821E23B8 resolves target and invokes vslot +0x38,subtype may enter handler directly or through wrapper
magnitude -> durability,closed,A,demo:0x8224FE60 applies current -= DurableBin[event_code] * event+0x0C,downstream equation complete
gun producer exact descriptor id 1007,partial,B+,event name and channel are exact; descriptor code is loaded from resource source+0x60,join class instance to resource descriptor
missile producer exact descriptor id 1008,strong,A-,typed CAce6Missile path and MISSILEDAMAGE channel agree; resource descriptor join remains desirable
GROUNDDAMAGE producer owner,open,C,event 1009 and DurableBin+0x1C are exact,identify source class/descriptor
FRAKEDAMAGE producer owner,open,C,event 1014 and DurableBin+0x30 are exact,identify source class/descriptor
