address	module	provisional_symbol	type	provenance	evidence_level	status
0x82054F7C	default.xex	CAce6MissionManager_base_vtable	vtable	user lead; PAL XEX verification pending	lead	unqualified
0x82064264	default.xex	CAce6MissionManagerCampaign_primary_vtable	vtable	canonical Ghidra ace-combat-6; cycle 543 RTTI	confirmed	qualified
0x8206432C	default.xex	CAce6MissionManagerCampaign_CHsm_vtable	vtable	canonical Ghidra ace-combat-6; cycle 543 RTTI	confirmed	qualified
0x82064384	default.xex	CModeTaskGame_primary_vtable	vtable	canonical Ghidra ace-combat-6; cycle 778 runtime object	confirmed	qualified
0x820643DC	default.xex	CModeTaskGame_CFsm_vtable	vtable	user lead; PAL XEX verification pending	lead	unqualified
0x8206457C	default.xex	CX360MissionManager_primary_vtable	vtable	canonical RTTI; cycle 778 runtime manager	confirmed	qualified
0x82064648	default.xex	CX360MissionManager_Hsm_vtable	vtable	canonical RTTI; cycle 778 runtime subobject	confirmed	qualified
0x82055190	default.xex	CX360UnitManager_vtable	vtable	canonical RTTI; cycle 778 runtime census	confirmed	qualified
0x820568D4	default.xex	CAce6UnitPlayer_vtable	vtable	canonical factory/RTTI; cycle 778 runtime registry	confirmed	qualified
0x820A7F48	default.xex	sub_820A7F48_unit_factory	function	canonical Ghidra ace-combat-6; selector branches and cycle 778 player	cross-match	qualified
0x8219A140	default.xex	sub_8219A140_CModeTaskGame_state_dispatch	function	canonical vtable ownership plus cycle 778 runtime	cross-match	qualified
0x8226D1C8	default.xex	sub_8226D1C8_mission_manager_update	function	canonical XEX/vtable refs; generated literal cross-match; cycle 778 runtime	cross-match	qualified
0x822707C8	default.xex	sub_822707C8_unit_object_update	function	canonical XEX; generated literal loop; cycle 778 runtime	cross-match	qualified
0x822E5708	default.xex	sub_822E5708_UpInput	function	canonical phase label/callsite cross-match; cycle 778 runtime	cross-match	qualified
0x82263A50	default.xex	sub_82263A50_UpCam	function	canonical phase label/callsite cross-match; cycle 778 runtime	cross-match	qualified
0x82271DE0	default.xex	sub_82271DE0_UpRadio	function	canonical phase label/callsite cross-match; cycle 778 runtime	cross-match	qualified
0x822A6560	default.xex	sub_822A6560_CAce6UnitPlayer_constructor	function	canonical Ghidra; factory selector 1; writes vtable and +240	cross-match	qualified
0x822A6710	default.xex	sub_822A6710_CAce6UnitPlayer_update	function	canonical Ghidra vtable +0x3C; child +216/+220 transform copy	cross-match	qualified
0x82007A10	default.xex	player_child_dispatch_table	vtable-like table	cycle 779 runtime child; canonical read-only words; Ghidra Bridge vtable export absent	runtime-direct	qualified-address-semantics-open
0x82229200	default.xex	sub_82229200	function	Ghidra Bridge; first entry of runtime child table; calls 0x82227B08	cross-match	qualified
