# What stands between the campaign and a LIVE flight step in the emulator.
#
# CYCLE 1383 REWRITES THIS FILE. Cycle 1382 wrote it saying four p-code
# operations "must be supplied". They were already supplied. MicroExecuteFunction
# has had models for vmrghw, vmrglw, lvlx and vrlimi128 all along, gated behind
# the `vmx on` directive, which is off by default so that a snapshot without it
# contains retail instructions only. The failing spec simply never said `vmx on`.
#
# That is the fourth time this session a wrong conclusion came from not checking
# what the repository already has -- the thirty-first shape. The measurement that
# settled it: adding one line took the run from 601 steps to 1034, through both
# rotations, with no other change.
#
# WHAT ACTUALLY REMAINS, measured by running rather than by reading:
#
# mnemonic	pcode_op	sites	kind	can it be asserted?
vcfsx	vectorConvertFromSignedFixedPointWord	591	convert	yes -- exact, a shift and a convert
vcmpeqfp	vectorCompareEqualToFloatingPoint	442	compare	yes -- exact
vsel	vectorConditionalSelect	514	select	yes -- pure data movement
vupkd3d128	vectorUnpackD3D128	264	unpack	yes -- pure data movement
vmaddfp	vectorMultiplyAddFloatingPoint	1096	arithmetic	yes, but it is arithmetic: a wrong model gives a plausible number
vnmsubfp	vectorNegativeMultiplySubtractFloatingPoint	708	arithmetic	same
vrefp	vectorReciprocalEstimateFloatingPoint	244	ESTIMATE	NO -- implementation-defined
vrsqrtefp	vectorReciprocalSquareRootEstimateFloatingPoint	274	ESTIMATE	NO -- implementation-defined
#
# THE TWO ESTIMATES ARE THE BOUNDARY. vrefp and vrsqrtefp are specified only to
# a relative accuracy bound; their exact bits are a property of the hardware.
# A model for them would return plausible numbers that are not the console's,
# and every value downstream would be plausible and wrong -- the failure mode
# this campaign is built to avoid. They are refused, not deferred.
#
# AND THE INTEGRATOR ALWAYS REACHES THEM. Its vector normalise at 0x823035EC is
# guarded on all three scaled rates being below 2^-16, so setting the rate scale
# [model+32] to zero ought to skip it. It does not. CONTROL, two runs identical
# except for the bias registers:
#
#   f25 = f24 = 0            60 steps, step_limit, no fault      normalise SKIPPED
#   f25 = 9.8/3.6, f24 = 1/pi  36 steps, fault at 0x823035F8     normalise ENTERED
#
# The fused gravity bias at 0x82303584 makes the middle component non-zero on its
# own, and f25 is 9.8/3.6 whenever gravity is active -- which is every frame.
#
# WHAT THIS DOES **NOT** INVALIDATE, and the distinction is the whole point.
# The normalise block writes only the stack vector and then [model+128/132/136].
# It never touches r30, the position block. The three position stores at
# 0x82303598, 0x823035AC and 0x823035B8 all precede it, and the 10.0 floor that
# follows reads the position back from memory. So the arithmetic
# retail_flight_step contracts is IDENTICAL on both paths, and cycle 1373's
# differential -- which forces the skip by seeding f11 -- measures a real branch
# of the function whose result the other branch shares.
#
# Out of reach: the DIRECTION output at [model+128/132/136], which is not ported
# and whose header says so.
