# The transform block 0x822A1E80 fills, and who fills it. Cycle 1329, NAMED 1332.
#
# THE BLOCK IS A `galib::CGaLocator`, named from its RTTI locator via
# analysis/class-map.tsv rather than from its shape. ACE6::CAce6Unit's
# constructor at 0x822A2330 installs vtable 0x82054D94 -- CGaLocator -- at BOTH
# this+0x10 and this+0x80, so a unit carries two of them, and 0x822A1E80 is
# handed the one at +0x80 by its callers.
#
# THAT ALSO ANSWERS WHAT OCCUPIES +0x00..+0x0F, open since cycle 1327: the first
# word is the VTABLE POINTER. It is not that 0x822A1E80 happens not to write
# there -- writing there would destroy the object's type.
#
# THE TYPE, READ OUT OF RTTI (cycle 1336). CGaLocator's vtable is ONE slot, its
# destructor at 0x82093818, and its Complete Object Locator sits at vtable[-1]:
#
#   0x8206D844  COL         signature 0, offset 0, cdOffset 0
#               typeDescriptor      0x8268F748
#               classHierarchyDesc  0x8206D858
#   0x8206D858  hierarchy   attributes 0 (single, non-virtual), numBaseClasses 1
#               pBaseClassArray     0x8206D868
#   0x8206D868  array       ONE entry -> 0x8206D870
#   0x8206D870  base        typeDescriptor 0x8268F748 -- CGaLocator ITSELF
#               numContainedBases 0, PMD (0, -1, 0), back-pointer 0x8206D858
#
# MSVC's base-class array includes the class itself, so one entry naming itself
# with numContainedBases = 0 means CGaLocator HAS NO BASE CLASSES. It is a
# standalone class with a single virtual method.
#
# The limit of that statement, stated: RTTI records what the compiler emitted for
# THIS class. A class deriving FROM CGaLocator would record the relationship in
# its own hierarchy descriptor, not here, so this says nothing about derived
# classes -- only that CGaLocator derives from nothing.
#
# Consequence for a port: both locators a unit carries are the same type, with no
# polymorphic variants to model, so what separates +0x10 from +0x80 is USAGE and
# nothing else. `RetailBasis` in include/ac6/retail_transform.h being a plain
# struct with free functions is retail's shape, not a simplification.
#
# 0x822A1E80 does `r31 = r3 + 0x80` and writes its three basis rows at
# r31+0x10/+0x20/+0x30. Its caller 0x822A23D8 does `mr r3,r31` before the call
# and `stvx128 v0,r31,r11` with r11 = 192 after building a vector -- so the
# vector lands at r31+0xC0, which is transform+0x40, the SAME block.
#
# The whole 460-instruction stream of 0x822A23D8 is qualified against XenonRecomp
# at 460/460 (tools/audit_recomp_vs_ghidra_listing.py), with two known
# vpermwi128-immediate defects classified rather than equated. `.pdata` declares
# 460 and the listing is complete -- which matters, because CLAUDE.md records
# that `exports/` recovers 6 instructions of this function.
#
# columns: offset_in_block width contents source
0x00	4	the CGaLocator vtable, 0x82054D94, installed by 0x822A2330	construction
0x04	12	not written by 0x822A1E80; the sentinel bytes placed there survived all fourteen runs	-
0x10	16	basis row 0	identity from 0x8204F7F0, then rotated
0x20	16	basis row 1	identity from 0x8204F800, then rotated
0x30	16	basis row 2	identity from 0x8204F810, then rotated
0x40	16	([r30+0x04], [r30+0x08], [r30+0x0C], 1.0) -- the constant at 0x82001348 is 0x3F800000	0x822A23D8, stvx128 v0,r31,192
#
# THE CONSTRUCTOR CONFIRMS THE ROW READING INDEPENDENTLY. 0x822A2330 initialises
# each locator's +0x40..+0x4C to (0.0, 0.0, 0.0, 1.0) -- three zeros from
# 0x8200082C and a one from 0x82001348 -- before any transform runs. A column
# layout would put that 1.0 somewhere else entirely.
#
# +0x10..+0x4F IS A 4x4 WITH THE TRANSLATION IN THE LAST ROW, and that is
# measured rather than chosen. The three basis rows are seeded from constants
# whose lane 3 is 0.0, and the fourth vector's lane 3 is 1.0. Under a
# column-major layout the translation would live in the last COLUMN -- lane 3 of
# each basis row -- and those lanes hold zero. Cycle 1328 declined to write the
# composition as a matrix product because the row-versus-column convention had
# not been measured. This measures it.
#
# THE ANGLES, at the 0x822A23D8 call site:
#   f1 = [r30+0x18]      applied SECOND, by 0x820A99F8, about row 0
#   f2 = [r30+0x1C]      applied FIRST,  by 0x820A9B30, about row 1
#   f3 = 0.0             applied THIRD,  by 0x82211828, about row 2 -- so the
#                        third rotation is the identity at this call site
#
# f3 is `lfs f31,2092(r10)` with r10 = 0x82000000, i.e. the float at 0x8200082C,
# which is 0x00000000. The SAME +2092 constant is loaded in 0x8230B030 and
# 0x822955F0, from the same base.
#
# THE FOUR CALL SITES, and each drives a different subset:
#
#   caller      call site   f1 (row 0, 2nd)   f2 (row 1, 1st)   f3 (row 2, 3rd)
#   0x822955F0  0x822957BC  live, negated     PATH-DEPENDENT    0.0
#   0x82295A88  0x82295E60  live sum          live sum          live sum
#   0x822A23D8  0x822A27F4  [r30+0x18]        [r30+0x1C]        0.0
#   0x8230B030  0x8230B44C  0.0               live sum          0.0
#
# 0x822955F0's f2 IS NOT RESOLVED. f25 is set to the 0.0 constant at one point
# and to -round(f1) at another, with branches between it and the call. Reading
# only the first write would have made it look constant, and this file does not.
#
# What this does NOT show is a disagreement about convention. Every caller passes
# the same argument in the same register to the same kernel, so f1 always means
# "about row 0, applied second". Whether the SOURCE angles mean the same physical
# thing per caller is a level above and is not established.
#
# r30 is read as floats at +0x04, +0x08, +0x0C, +0x10, +0x14, +0x18 and +0x1C.
# WHAT r30 IS HAS NOT BEEN ESTABLISHED and it is not called a state, a pose or a
# unit here. Cycle 1299 paid four cycles for an unexamined premise of that kind.
#
# THE OTHER THREE CALLERS ARE NOT ANALYSED. 0x822A1E80 has four call sites --
# 0x822957BC and 0x82295E60 (in 0x822955F0 and 0x82295A88), 0x822A27F4 (this
# one) and 0x8230B44C. The first of them applies `fneg f1,f1` before calling and
# 0x8230B030 builds f2 by adding a .rodata constant, so the angle conventions may
# differ per caller and nothing here says they do not.
